Full Holiday Date;Holiday Key (PK);Holiday Name;Year Holiday;Month Holiday;Day Month Holiday;Day Week Holiday
40909;12;New Year's Day;2012;1;1;Sunday
40924;10;Martin Luther King, Jr. Day;2012;1;16;Monday
40953;16;Valentines Day;2012;2;14;Tuesday
40959;18;Washington's Birthday;2012;2;20;Monday
41007;19;Western Easter;2012;4;8;Sunday
41014;5;Eastern Easter;2012;4;15;Sunday
41057;11;Memorial Day;2012;5;28;Monday
41079;6;Juneteenth;2012;6;19;Tuesday
41094;1;4th of July;2012;7;4;Wednesday
41153;8;Labor Day Weekend;2012;9;1;Saturday
41154;9;Labor Day Weekend;2012;9;2;Sunday
41155;7;Labor Day;2012;9;3;Monday
41190;4;Columbus Day;2012;10;8;Monday
41224;17;Veterans Day;2012;11;11;Sunday
41234;15;Thanksgiving Eve;2012;11;21;Wednesday
41235;14;Thanksgiving Day;2012;11;22;Thursday
41267;3;Christmas Eve;2012;12;24;Monday
41268;2;Christmas Day;2012;12;25;Tuesday
41274;13;New Years Eve;2012;12;31;Monday
41275;31;New Year's Day;2013;1;1;Tuesday
41295;29;Martin Luther King, Jr. Day;2013;1;21;Monday
41319;35;Valentines Day;2013;2;14;Thursday
41323;37;Washington's Birthday;2013;2;18;Monday
41364;38;Western Easter;2013;3;31;Sunday
41399;24;Eastern Easter;2013;5;5;Sunday
41421;30;Memorial Day;2013;5;27;Monday
41444;25;Juneteenth;2013;6;19;Wednesday
41459;20;4th of July;2013;7;4;Thursday
41517;27;Labor Day Weekend;2013;9;31;Saturday
41518;28;Labor Day Weekend;2013;9;1;Sunday
41519;26;Labor Day;2013;9;2;Monday
41561;23;Columbus Day;2013;10;14;Monday
41589;36;Veterans Day;2013;11;11;Monday
41605;34;Thanksgiving Eve;2013;11;27;Wednesday
41606;33;Thanksgiving Day;2013;11;28;Thursday
41632;22;Christmas Eve;2013;12;24;Tuesday
41633;21;Christmas Day;2013;12;25;Wednesday
41639;32;New Years Eve;2013;12;31;Tuesday
41640;50;New Year's Day;2014;1;1;Wednesday
41659;48;Martin Luther King, Jr. Day;2014;1;20;Monday
41684;54;Valentines Day;2014;2;14;Friday
41687;56;Washington's Birthday;2014;2;17;Monday
41749;43;Eastern Easter;2014;4;20;Sunday
41749;57;Western Easter;2014;4;20;Sunday
41785;49;Memorial Day;2014;5;26;Monday
41809;44;Juneteenth;2014;6;19;Thursday
41824;39;4th of July;2014;7;4;Friday
41881;46;Labor Day Weekend;2014;9;30;Saturday
41882;47;Labor Day Weekend;2014;9;31;Sunday
41883;45;Labor Day;2014;9;1;Monday
41925;42;Columbus Day;2014;10;13;Monday
41954;55;Veterans Day;2014;11;11;Tuesday
41969;53;Thanksgiving Eve;2014;11;26;Wednesday
41970;52;Thanksgiving Day;2014;11;27;Thursday
41997;41;Christmas Eve;2014;12;24;Wednesday
41998;40;Christmas Day;2014;12;25;Thursday
42004;51;New Years Eve;2014;12;31;Wednesday
42005;69;New Year's Day;2015;1;1;Thursday
42023;67;Martin Luther King, Jr. Day;2015;1;19;Monday
42049;73;Valentines Day;2015;2;14;Saturday
42051;75;Washington's Birthday;2015;2;16;Monday
42099;76;Western Easter;2015;4;5;Sunday
42106;62;Eastern Easter;2015;4;12;Sunday
42149;68;Memorial Day;2015;5;25;Monday
42174;63;Juneteenth;2015;6;19;Friday
42189;58;4th of July;2015;7;4;Saturday
42252;65;Labor Day Weekend;2015;9;5;Saturday
42253;66;Labor Day Weekend;2015;9;6;Sunday
42254;64;Labor Day;2015;9;7;Monday
42289;61;Columbus Day;2015;10;12;Monday
42319;74;Veterans Day;2015;11;11;Wednesday
42333;72;Thanksgiving Eve;2015;11;25;Wednesday
42334;71;Thanksgiving Day;2015;11;26;Thursday
42362;60;Christmas Eve;2015;12;24;Thursday
42363;59;Christmas Day;2015;12;25;Friday
42369;70;New Years Eve;2015;12;31;Thursday
